Questionario,Code Questionario,Instrução,Categorias,Título questão,Description Questao,Code Questão,Ordem Questão,Instrução questão ,Subtitulo,QuestionNumber QuestionnaireQuestion,Order QuestionnaireQuestion,Chaves de resposta,Chaves de resposta New,Condição de resposta,Tipo,Valor de referência (cut-off),Score
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Sinto como se tivesse de me esforçar para produzir voz.,SCOREQUES0130,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,14,14,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"13 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas,Sinto que as outras pessoas não compreendem o meu problema de voz.,SCOREQUES0131,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,15,15,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"14 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Estado geral de saúde,Responda com base na frequência dos sintomas,As minhas dificuldades com a voz limitam-me a minha vida pessoal e social.,SCOREQUES0132,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,16,16,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"15 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,A clareza da minha voz é imprevisível.,SCOREQUES0133,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,17,17,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"16 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Estilo de vida e autocuidado,Responda com base na frequência dos sintomas,Tento modificar a minha voz de modo a soar diferente.,SCOREQUES0134,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,18,18,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"17 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas, Sinto-me fora das conversas por causa da minha voz.,SCOREQUES0135,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,19,19,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"18 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,Faço muito esforço para falar.,SCOREQUES0136,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,20,20,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"19 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,A minha voz está pior à noite.,SCOREQUES0137,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,21,21,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"20 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Estado geral de saúde,Responda com base na frequência dos sintomas,O meu problema de voz causa-me prejuízos económicos,SCOREQUES0138,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,22,22,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"21 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas,O meu problema de voz preocupa-me.,SCOREQUES0139,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,23,23,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"22 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas,Sou menos sociável por causa do meu problema de voz.,SCOREQUES0140,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,24,24,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"23 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas,A minha voz faz-me sentir em desvantagem.,SCOREQUES0141,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,25,25,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"24 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Sintomatologia,Responda com base na frequência dos sintomas,A minha voz “falha” quando estou no meio de uma conversa.,SCOREQUES0142,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,26,26,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"25 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas,Sinto-me irritado quando as pessoas me pedem para repetir o que disse.,SCOREQUES0143,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,27,27,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"26 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas,Sinto-me incomodado quando as pessoas me pedem para repetir o que disse.,SCOREQUES0144,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,28,28,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"27 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas, A minha voz faz-me sentir incompetente.,SCOREQUES0145,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,29,29,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"28 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
The Voice Handicap Index (VHI),VOICE_HANDICAP,"Este questionário é utilizado para para avaliar o impacto de distúrbios vocais na sua vida. Ele mede a percepção sobre as suas dificuldades vocais em três domínios: físico, funcional e emocional. Leia cada afimação atentamente e pense em como a sua voz tem afetado o seu dia a dia recentemente. Assiná-le a opção que melhor se aplique à sua realidade.",Saúde Mental e Emocional,Responda com base na frequência dos sintomas, Tenho vergonha do meu problema de voz.,SCOREQUES0146,0,"0: Nunca
1: Quase Nunca 
2: Às vezes 
3: Quase sempre
4: Sempre",,30,30,"0 - Nunca - VHI_NEVER
1 - Quase Nunca - VHI_ALMOST_NEVER
2 - Às vezes - VHI_SOMETIMES
3 - Quase sempre - VHI_ALMOST_ALWAYS
4 - Sempre - ALWAYS",Nao,Selecionar apenas uma opção,Likert,"29 a 30: Leve – indica uma desvantagem vocal mínima.

31 a 60: Moderado – frequentemente observado em pacientes com nódulos, pólipos ou cistos vocais.

61 a 120: Severo – geralmente associado a condições como paralisia das pregas vocais ou cicatrizes vocais significativas.",Somatório
